Subject 1 was happiness, result was: happiness
Subject 1 was sadness, result was: anger
Subject 1 was surprise, result was: surprise
Subject 2 was happiness, result was: happiness
Subject 2 was sadness, result was: anger
Subject 2 was surprise, result was: surprise
Subject 3 was happiness, result was: happiness
Subject 3 was sadness, result was: anger
Subject 3 was surprise, result was: surprise
Subject 4 was happiness, result was: happiness
Subject 4 was sadness, result was: sadness
Subject 4 was surprise, result was: surprise
Subject 5 was happiness, result was: happiness
Subject 5 was sadness, result was: disgust
Subject 5 was surprise, result was: surprise
Subject 6 was happiness, result was: happiness
Subject 6 was sadness, result was: sadness
Subject 6 was surprise, result was: surprise
Subject 7 was happiness, result was: happiness
Subject 7 was sadness, result was: disgust
Subject 7 was surprise, result was: surprise
Subject 8 was happiness, result was: happiness
Subject 8 was sadness, result was: sadness
Subject 8 was surprise, result was: surprise
Subject 9 was happiness, result was: fear
Subject 9 was sadness, result was: anger
Subject 9 was surprise, result was: surprise
Subject 10 was happiness, result was: happiness
Subject 10 was sadness, result was: sadness
Subject 10 was surprise, result was: surprise
Subject 11 was happiness, result was: happiness
Subject 11 was sadness, result was: surprise
Subject 11 was surprise, result was: anger
Subject 12 was happiness, result was: happiness
Subject 12 was sadness, result was: happiness
Subject 12 was surprise, result was: surprise
Subject 13 was happiness, result was: happiness
Subject 13 was sadness, result was: anger
Subject 13 was surprise, result was: surprise
Subject 14 was happiness, result was: fear
Subject 14 was sadness, result was: fear
Subject 14 was surprise, result was: surprise
Subject 15 was happiness, result was: happiness
Subject 15 was sadness, result was: sadness
Subject 15 was surprise, result was: surprise
